filename,length,onset,offset,label
blues.00000.wav,120300,0,120300,blues
blues.00000.wav,120300,120300,240600,blues
blues.00000.wav,120300,240600,360900,blues
blues.00000.wav,120300,360900,481200,blues
blues.00000.wav,120300,481200,601500,blues
blues.00001.wav,120300,0,120300,blues
blues.00001.wav,120300,120300,240600,blues
blues.00001.wav,120300,240600,360900,blues
blues.00001.wav,120300,360900,481200,blues
blues.00001.wav,120300,481200,601500,blues
blues.00002.wav,120300,0,120300,blues
blues.00002.wav,120300,120300,240600,blues
blues.00002.wav,120300,240600,360900,blues
blues.00002.wav,120300,360900,481200,blues
blues.00002.wav,120300,481200,601500,blues
blues.00003.wav,120300,0,120300,blues
blues.00003.wav,120300,120300,240600,blues
blues.00003.wav,120300,240600,360900,blues
blues.00003.wav,120300,360900,481200,blues
blues.00003.wav,120300,481200,601500,blues
blues.00004.wav,120300,0,120300,blues
blues.00004.wav,120300,120300,240600,blues
blues.00004.wav,120300,240600,360900,blues
blues.00004.wav,120300,360900,481200,blues
blues.00004.wav,120300,481200,601500,blues
blues.00005.wav,120300,0,120300,blues
blues.00005.wav,120300,120300,240600,blues
blues.00005.wav,120300,240600,360900,blues
blues.00005.wav,120300,360900,481200,blues
blues.00005.wav,120300,481200,601500,blues
blues.00006.wav,120300,0,120300,blues
blues.00006.wav,120300,120300,240600,blues
blues.00006.wav,120300,240600,360900,blues
blues.00006.wav,120300,360900,481200,blues
blues.00006.wav,120300,481200,601500,blues
blues.00007.wav,120300,0,120300,blues
blues.00007.wav,120300,120300,240600,blues
blues.00007.wav,120300,240600,360900,blues
blues.00007.wav,120300,360900,481200,blues
blues.00007.wav,120300,481200,601500,blues
blues.00008.wav,120300,0,120300,blues
blues.00008.wav,120300,120300,240600,blues
blues.00008.wav,120300,240600,360900,blues
blues.00008.wav,120300,360900,481200,blues
blues.00008.wav,120300,481200,601500,blues
blues.00009.wav,120300,0,120300,blues
blues.00009.wav,120300,120300,240600,blues
blues.00009.wav,120300,240600,360900,blues
blues.00009.wav,120300,360900,481200,blues
blues.00009.wav,120300,481200,601500,blues
blues.00010.wav,120300,0,120300,blues
blues.00010.wav,120300,120300,240600,blues
blues.00010.wav,120300,240600,360900,blues
blues.00010.wav,120300,360900,481200,blues
blues.00010.wav,120300,481200,601500,blues
blues.00011.wav,120300,0,120300,blues
blues.00011.wav,120300,120300,240600,blues
blues.00011.wav,120300,240600,360900,blues
blues.00011.wav,120300,360900,481200,blues
blues.00011.wav,120300,481200,601500,blues
blues.00012.wav,120300,0,120300,blues
blues.00012.wav,120300,120300,240600,blues
blues.00012.wav,120300,240600,360900,blues
blues.00012.wav,120300,360900,481200,blues
blues.00012.wav,120300,481200,601500,blues
blues.00013.wav,120300,0,120300,blues
blues.00013.wav,120300,120300,240600,blues
blues.00013.wav,120300,240600,360900,blues
blues.00013.wav,120300,360900,481200,blues
blues.00013.wav,120300,481200,601500,blues
blues.00014.wav,120300,0,120300,blues
blues.00014.wav,120300,120300,240600,blues
blues.00014.wav,120300,240600,360900,blues
blues.00014.wav,120300,360900,481200,blues
blues.00014.wav,120300,481200,601500,blues
blues.00015.wav,120300,0,120300,blues
blues.00015.wav,120300,120300,240600,blues
blues.00015.wav,120300,240600,360900,blues
blues.00015.wav,120300,360900,481200,blues
blues.00015.wav,120300,481200,601500,blues
blues.00016.wav,120300,0,120300,blues
blues.00016.wav,120300,120300,240600,blues
blues.00016.wav,120300,240600,360900,blues
blues.00016.wav,120300,360900,481200,blues
blues.00016.wav,120300,481200,601500,blues
blues.00017.wav,120300,0,120300,blues
blues.00017.wav,120300,120300,240600,blues
blues.00017.wav,120300,240600,360900,blues
blues.00017.wav,120300,360900,481200,blues
blues.00017.wav,120300,481200,601500,blues
blues.00018.wav,120300,0,120300,blues
blues.00018.wav,120300,120300,240600,blues
blues.00018.wav,120300,240600,360900,blues
blues.00018.wav,120300,360900,481200,blues
blues.00018.wav,120300,481200,601500,blues
blues.00019.wav,120300,0,120300,blues
blues.00019.wav,120300,120300,240600,blues
blues.00019.wav,120300,240600,360900,blues
blues.00019.wav,120300,360900,481200,blues
blues.00019.wav,120300,481200,601500,blues
blues.00020.wav,120300,0,120300,blues
blues.00020.wav,120300,120300,240600,blues
blues.00020.wav,120300,240600,360900,blues
blues.00020.wav,120300,360900,481200,blues
blues.00020.wav,120300,481200,601500,blues
blues.00021.wav,120300,0,120300,blues
blues.00021.wav,120300,120300,240600,blues
blues.00021.wav,120300,240600,360900,blues
blues.00021.wav,120300,360900,481200,blues
blues.00021.wav,120300,481200,601500,blues
blues.00022.wav,120300,0,120300,blues
blues.00022.wav,120300,120300,240600,blues
blues.00022.wav,120300,240600,360900,blues
blues.00022.wav,120300,360900,481200,blues
blues.00022.wav,120300,481200,601500,blues
blues.00023.wav,120300,0,120300,blues
blues.00023.wav,120300,120300,240600,blues
blues.00023.wav,120300,240600,360900,blues
blues.00023.wav,120300,360900,481200,blues
blues.00023.wav,120300,481200,601500,blues
blues.00024.wav,120300,0,120300,blues
blues.00024.wav,120300,120300,240600,blues
blues.00024.wav,120300,240600,360900,blues
blues.00024.wav,120300,360900,481200,blues
blues.00024.wav,120300,481200,601500,blues
blues.00025.wav,120300,0,120300,blues
blues.00025.wav,120300,120300,240600,blues
blues.00025.wav,120300,240600,360900,blues
blues.00025.wav,120300,360900,481200,blues
blues.00025.wav,120300,481200,601500,blues
blues.00026.wav,120300,0,120300,blues
blues.00026.wav,120300,120300,240600,blues
blues.00026.wav,120300,240600,360900,blues
blues.00026.wav,120300,360900,481200,blues
blues.00026.wav,120300,481200,601500,blues
blues.00027.wav,120300,0,120300,blues
blues.00027.wav,120300,120300,240600,blues
blues.00027.wav,120300,240600,360900,blues
blues.00027.wav,120300,360900,481200,blues
blues.00027.wav,120300,481200,601500,blues
blues.00028.wav,120300,0,120300,blues
blues.00028.wav,120300,120300,240600,blues
blues.00028.wav,120300,240600,360900,blues
blues.00028.wav,120300,360900,481200,blues
blues.00028.wav,120300,481200,601500,blues
blues.00029.wav,120300,0,120300,blues
blues.00029.wav,120300,120300,240600,blues
blues.00029.wav,120300,240600,360900,blues
blues.00029.wav,120300,360900,481200,blues
blues.00029.wav,120300,481200,601500,blues
blues.00030.wav,120300,0,120300,blues
blues.00030.wav,120300,120300,240600,blues
blues.00030.wav,120300,240600,360900,blues
blues.00030.wav,120300,360900,481200,blues
blues.00030.wav,120300,481200,601500,blues
